label,review
0,"我是10月5日到万豪住了一个晚上,说真的绝对不能和五星级酒店联系在一起.服务意识确实不错,但晚上以后好象酒店自己有一个象是夜总会的地方,音乐响到凌晨2点多,嘈死人了.以后再也不去住了."
1,"环境尚可,房间也够大,但地毯较旧,够得上五星,但是酒店里的食街较贵"
1,上个周末又去了河源。这回提前预订了万豪国际酒店2个晚上，酒店真的没有令我们夫妇失望，我们为自己的选择洋洋得意。当时由于不能在约定的时间傍晚6点钟之前到达酒店，和酒店联系时，酒店接待处非常有礼和善解人意，让我们两公婆非常放心地优哉游哉地在半夜2点到了酒店，酒店大堂不霸气但很大气，前台设计不是像其他酒店那样让客人站着填单，而是让我舒舒服服地坐着，非常愉快地办好了入住手续。不得不提一句，真的好漂亮的前台美眉哦，俏丽、恬静、端庄，怪不得人家都说客家妹美上人心窝.....酒店有主楼房间和别墅房间，标准客房都在别墅区，楼梯上下，一梯两个房间，房间干净、整齐，互联网免费，网速快，洗手间有时尚杂志，还有英文版的。洗澡间水压好，洗澡非常舒服，老公在里面洗澡伴着水声哼了一小时的歌都不肯出来，还说是因为万绿湖的原因，水的滋味很好，哈哈，真是有点快乐得爱屋及乌的可能了！！住了两个晚上，由于整个周末都下雨，几顿饭都在酒店里叹美食，一楼的食街出品非常精致，味道正，无论是大餐牌上正餐大菜，还是特色风味小菜，大厨即点即煮，卖相造型已经让人满心欢喜了，我们最后还餐后有甜品，加起来才70多元，按照性价比，超值！（唯一可惜的是，因为之前的一个周末已经在这里吃过晚餐，知道这有好东西，所以当晚半夜2点到达酒店时以为这里还是24小时营业，美滋滋地想来个房间送餐，结果被告知2点收市，自己心理作用就觉得更加饿得不行了，两公婆狂吃了一盒曲奇）。12楼是旋转餐厅，两个午餐都在上面，碰巧设备检修，餐厅不转，不过也没问题，俯视文化广场，风景不错，偶尔还有点和风细雨，雨还没停，就可以看到有人在打篮球和乒乓球了。两个中午都点了沙拉，牛扒，还有一个套餐，不错。下次来，打算去11楼尝尝那里的私房菜。差点忘了说说，一楼食街的洗手间很干净，老公一听，赶紧也去瞧瞧，果然！两人哈哈大笑，因为一般在外面我是不去洗手间的，能让我放心进去解决问题而又满意的洗手间更是少之又少，哈哈！好！可以肯定，这里的员工有非常严格的工作准则，严格的培训之后一定是严格的管理。天下着雨，门童一看见我们回来，马上扛着个七彩大伞就过来，态度非常友好，雨伞实在是大，动作有点憨态可掬，我们都乐不可支，非常开心！房间服务员和我们在楼下迎面相遇，都静静地停下来在一边向我们问好。由于我们房间冷气出现了一点问题，客房部处理的比较专业，联系换房、搬行李，换钥匙，都是显得有条不紊，快捷妥当。这已经让我们非常满意了。外出度假，希望酒店让客人心情愉快是首要的，万豪做到了，我们还会再来入住的！如果真的要说些建议的话，权且当是我挑剔吧。洗手间渗水的情况不容忽视，我们住了很多的酒店，基本上都存在着个问题，而我偏偏又是对洗手间的要求特别高，干净、简约、温馨、宽敞、不积水、不渗水，万豪国际酒店，除了渗水这个国内酒店老大难问题，其他的都达我标准了。哈哈！或许希望酒店能在别墅区里设置有一张大床的房间类型，因为我们是周末自费休闲客人，就不希望付公司商务差旅的价格房费去预定商务房间，虽然不是商旅，但也希望能安寝哦！看到很多别墅前都停泊着名贵靓车，相信也是来休闲度假的情侣，他们也需要大大的安睡空间哦！考虑考虑！
1,酒店硬件、服务均不错，总体挺满意。不足处：食街的菜式及早餐品种不够丰富。
1,1）交通便利，到津滨高速入口5分钟的车程2）对面就有不错的饭店，而且距离超市也不远3）房间内设施一般，卫生间装修比较粗糙，浴盆的地漏不畅
1,酒店房间还不错，很干净、水压很强，这里讲的标间一般是指酒店旁边的二层别墅的房间，但是如果CHECKIN时特别要求住前楼，也能住到，听说前楼有卡拉OK，5楼左右的客房都比较吵。我没有去住，住了两次，都是住后面的小楼，很安静。特别称赞酒店中餐点心，可以打电话叫客房送餐（在客房送餐简介上是没有的），打电话请总机转到一楼的中餐部，晚上12点还可以叫到点心，我叫了一份蒸排骨、一份牛肉丸、一份白粥，一共才二十元，真的很便宜，另外再说一下，中餐部的部长服务真的太热情了，竟然亲自将桌上纸巾袋内的纸巾一张张拿出来，递到客人面前。
1,位置不错，就在大水车旁边不远的地方，如果有很多行李的话，这里是一个不错的选择。酒店的环境还不错，我们住的房子前面有个院子，每天都可以坐在院子里看书晒太阳，还挺舒服的。不过说起来，古城里的客栈也都差不多。服务挺热情。价钱算是古城客栈里比较高的了。
1,该死的写程，我打2分根本发表不了评论！这次我给你打4分，但还是实话实说，这个酒店不咋样，给我二楼最里间的房子，紧靠锅炉房，木结构的房子里面烧锅炉，多可怕啊！当时看写程的评论写的天花乱坠，原来都是假的，给低分的评论根本发表不了，真假。
1,2月初住在这，服务很好，嘱咐他们的事情都办的很好。打扫房间比较及时。不知道其他房间怎么样，反正315房间的空调对这门吹，房间还是很冷，幸好有电热毯，空调噪音大，都不敢一直开着。热水早上好像热一点。最喜欢他们有体重秤，呵呵。隔音可以接受，上楼的声音能很清楚的听到。没有大灯，我自己不喜欢房间暗暗的。洗澡时浴室门关不严，不过没有积水现象。价格比较贵，有不少老外住在这里。要是喜欢服务周到这里没问题，要是喜欢家的感觉还是要住私人客栈，很温馨！
1,不是特别满意位置不太好但价格比较合理去了才知道，他是3星级的，外表有点旧旧的
1,"是个环境不错的地方,离古城入口也比较近,入住的寿苑比较安静也很干净.不足的是楼上的脚步声能听得见,隔音不是很好."
1,免费自助早餐在该酒店斜对面的阳光.和酒巴.这个酒巴可是被用来拍过电影的哦.
1,"还算可以吧,住了两天,位置比较好,本来以为在古镇里会很吵,但是还好,干净/雅致,这是我对这个酒店评价(不过还有一点希望酒店改善:床铺太硬了,质量不敢恭维)如果有些朋友要在丽江待比较长的时间可以去""束河古镇""住一下,真的不错我的后几天都是在那过的,比较悠闲,酒店的质量绝对比丽江古镇的好."
1,6月初蜜月旅行，到达丽江的第一晚入住。房间很整洁，木质的家具感觉非常舒服，很有古朴的味道，与庭院的风格非常接近，一下子就喜欢上了！以后去的话还会住在这里。
1,和LP一起订的度假，发现三合比较紧俏，于是赶紧下了订单。在三合感觉中国人绝对是“少数民族”估计老外对这个酒店可能比较熟悉，早餐是在酒店外（第一次这种体会，呵呵），出门向左50米（路对面），叫阳光和酒吧。只有第二天早上看到一对中国人，其他全是老外，感觉有点奇怪。早餐内容太少了。酒店内比较别致，很有古城的味道，房间内的家具比较紧凑，不过两个人住应该还好了。热水似乎不行，放了很长时间都是温水。电视奇高无比，晚上看会电视脖子酸，信号也一般。不过如果是体验古城味道，的确是个不错的选择。
1,"总体感觉不错,房间很温馨,考虑到丽江温差大,床铺还用了电热毯.服务员态度好,每次进出都会主动打招呼.唯一不足是热水不稳定,空调不够暖和.早餐定在阳光和酒,不知道是否是连锁的,第二天去大理,居然在逛洋人街的时候也看到了阳光和酒的酒吧.不嘈杂还有表演,酒味歌唱都不错."
1,房间不大，布置还行。里火车站较近。（打的9元）
1,环境比较静，但比较偏一点。床太小，选的大床的单人间，318/间，竟比298的标间空间还小，不知道288的大床单人间会不会更小。优点是靠近九江长江大桥，开车经高速路过此地时，比较方便，将近一宿。
1,"优点：1、酒店安静，空气清新，寝具干净；2、免费的温水游泳池和健身；3、酒店周围绿树成荫，吃饭后散散步不错。缺点：1、离九江市区有一点距离，打车12元；2、前台服务员的业务水平需要提高；3、没有免费的矿泉水。免费注册网站导航宾馆索引服务说明关于携程诚聘英才代理合作广告业务联系我们Copyright1999-2008,ctrip.com.allrightsreserved."
1,这次订的是无窗的房间，房间很大，就是没有窗户，没有风景，不过住的时候就是睡觉无所谓了，感觉算超值的
1,福建山水大酒店1、看来升4★还是有道理的，服务不错（专人接待和洗衣能比较及时地送达）；2、早餐的皮蛋瘦肉粥不错（尽管第三天早上的有点糊味）；3、二楼的餐饮值得推荐（招待客户时）；4、设备比较齐备，有棋牌室，尽管没去打麻将，看了看环境还可以；5、地理位置不错，窗户对面居然就是－洲际酒店，但打车比洲际方便很多；6、房间上网速度不错，有600KB/s的样子；7、不足嘛：A、福州酒店好像都是一样的问题－－房间购大，但厕所比较小，尤其是马桶的Size……；B、二楼的餐饮无商务套餐，结果比较浪费（按单人50元餐饮计算），已提过此建议，不知是否会改进；C、房间窗户隔音效果比较差。我住在16楼，第一天刮小台风，窗户震了一夜。第二天白天和第三天白天，楼下某车警报器发癫似的直冲云霄……好在房间有个小音响，开到3/4格音量放着摇滚，感觉居然还不错……D、明显存在的问题：8号中午一点多结账时，结果结账的地方才1个人（而且还在忙着统计“对账单”），同一个柜台的接待处却有3个人，而此时并无Checkin的客人，但接待的3人“无动于衷”……（为赶回来看奥运会开幕式，只好要求她们加快或来一个人来帮忙）结果又遇到刷卡有问题。我还没急，结账的那位却风风火火只会把卡左刷右刷的刷了n次（完全无视系统的“报错提醒”）我再三提醒看“请看看是什么错误信息”，才知道是余额不足。只好分别回房间和到商务中心，共转帐二次，结果还是刷卡错误－－回来后问银行柜台咨询才知道是：因为短时间内刷卡太频繁，银行保护把卡锁了……其实：中午时间本来就是CheckOut人比较多的时候（从我开始结账到结账完毕，共有四位客人在Checkout，却无人Checkin），前台人员配备明显不合理；如果结账的那位女同志仔细一点，发现刷卡有问题时多看下提示，就不会耽误客人如此多的时间，而且不会导致锁卡（好彩为看开幕式归心似箭，提前了1个小时CheckOut，否则……）；出现问题时，请冷静点处理，居然比我还急（尤其是她那说话的声音又高又尖又快），如果我也象她那么样急一下，不吵架才怪……当然，酒店的服务从始至终，包括最后处理卡问题时知道换另外一位接待来处理，服务态度还是可以接受的，总体上此酒店还是值得推荐的，希望能百尺竿头更进一步。最后，携程的价格比我在前台听的某价格贵了少许，虽然我接受了此价差入住了，但携程还请加油！
1,酒店地理位置很不错，很适合逛街入住。但是房间似乎开始有些成旧的感觉了（特别是卫生间），还有前台小姐的服务态度有待改进。补充点评2008年7月29日：还有，早餐品种太差了，没什么东西好吃。
1,地理位置比较市中心，早餐厅品种比较少，服务一般。
1,温州人开的酒店，就是这副样子。总的来说还好，就是档次上不去。顶楼的餐厅不错，台塑牛扒很好。
1,第二次住，定的时候明明是588含早的，结果到前台说是518不含早的，不过影响不大，其他都还好，总的来说性价比不错。
1,不错。交通十分方便，房间较宽敞，特别是卫生间，中心房没窗户，但并没有明显的不通气的感觉。我住的那天有许多貌似中东来的客人，不知平时是否也是这样。
1,"第二次入住了,感觉还是挺好，早餐下来到一楼餐厅的门早上能开就更好了。"
1,250的大床房还是蛮实惠的，地段也不错，离最中心地带很近，也很安静！就是感觉房间旧了点
1,"交通便利,位于市中心;设置齐备,有车库.不足处是临街隔音效果太差,建议用双层窗户,其次为过道隔音不好,建议能都铺上厚点的地毯．总体而言，这家酒店性价比还可以．"
1,服务态度很好，早餐也有进步，性价比非常高。
1,安全周到早餐也越做越好所以连续住过几次都不想更换别的酒店价格也适中
1,1、环境不错，离东百很近，就在东街口后面。2、房间不错，有电脑，可以免费上网。
1,还过的去拉。嘉兴也没社么好地方住。就是服务员早上说话太大声，扰人睡觉啊。～～大家别去定那个社么忆江南大酒店，O原来定的那里，过去1看，人都没的。前台2个服务员在聊天，没照片上的样子好，是个KTV和浴室一起的1个招待所。协程找这样的酒店，也不怕砸自己招牌。～～
1,酒店可能是新装修的，还算整洁。地处闹市区，交通比较方便，购物也比较方便。也是因为在市中心，所以晚上睡觉不免有噪音。服务人员态度是不错，但对客人询问的关于景点、线路等问题竟回答不上来，应该说业务知识不是很熟。总体还算不错。
1,"怎么说呢?勉强够五星吧,不过在小城市里,应该是不错的了.位置是好的,交通也好,景观也好.早餐一般般,主要是入住率很低的样子,没什么人吃,自助餐东西放不多也不怪了.遇到的最大的问题-我们住了两间,一间我带孩子,一间我父母,第一天在9楼,面江,结果当晚4楼的歌舞厅吵得不得了,居然要闹到午夜2点,我父母吃了安眠药还不能入睡,半夜里要求换房.换到16楼不面江,安静了.不过这么折腾一下,几乎一夜没睡.16楼是好一等的楼层,没有要求补差价,但这是酒店造成的原因,所以也没什么不应该."
1,宾馆的地理位置很好，还远处有一个超市；环境也很好；房间很干净，服务员服务态度很好。
1,酒店设施一流，房间设施一流，前台及销售人员服务非常令人满意，我因为是陪同客人去旅游，旅游路线不了解，询问了酒店总台，总台马上安排酒店销售人员热情为我一一解答，销售人员还提出如有需要可以陪同我们一起前往旅游景点，让人有宾至如归的感觉真的非常不错，但美中不足的是酒店的早餐，我一共入住酒店2次，每次早上我大约都在9点去餐厅用早餐（9：30结束），但是每次都是没有什么可以吃的了，每次都有很多客人都在向服务员抱怨，而服务员也没有作出进一步的反应，我觉得这与五星级的酒店不太相忖，希望酒店能予以改进。
1,五星级酒店空降在富阳这个小地方。硬件没有什么可抱怨的，大堂气派非凡，杭州也很难挑出可以比的。江景一览无余。除了房间的一些小细节做的和大城市的五星级还有些小差距，但是在富阳，你就别想找个更好的地方了。这个酒店要是在杭州，就是800元一晚也找不到，500多的房价算是可以了。问题是，问什么在富阳会有这么好的酒店？
1,很不错呀，就是浴室太搞笑了，三个水龙头，也没标哪个热水哪个冷水。电梯太慢，其它都还好，早餐很不错，喜欢蒸红薯和南瓜，还有热果珍喝~
1,10楼和27楼是同样的价格，有点想不通，当然是要住27楼啦。10楼的网络不通，电脑部的人居然不知道，白忙了一个多小时，最后换房才解决。等电梯很考验人的耐心，唉。。。不过酒店其他地方都不错的，早餐丰富，下次还会住这里。
1,总的来说，不值。住过一次410无窗的房子，在11月的冬天居然热的我难受，叫来服务员，确认没有开暖风，问他们解决办法，居然说是让我加钱住有窗户的房子。我是住无窗的房子了，那也不代表我必须接受30度的室内高温吧？以后住那里的注意下，我怀疑在9－11层左右的无窗房子紧挨着供暖系统等热源，热的人难受。580的房子也住过，条件等还好了。但卫生间很差很差，会渗水会返臭味。
1,温泉很大，喜欢室外的部分，空气非常好，就是水温大都偏热。室内的品种也很多，不过价格还是偏贵的。离市区还是很远的，吃饭的选择不多。
1,服务很好，进房间服务员会给你倒一杯茶水，很温馨，硬件虽然差一些，但性价比很高，下次去还住山水
1,十一入住了春晖，龙熙和度假村，另外也去了九华山庄。九华不是在携程定的，就不说了。一春晖在顺义，交通一般。周围环境还算可以，是农田。但内部环境一般，最起码没有想象的好。施工是一部分原因。度假村的整体设计一般，布局不合理。比如，康体中心设在大门口，而宾馆在最里面。我想这是分期建设的原因，也不好改。
1,由于酒店距火车站近，所以出租车不愿去，但这是长沙出租车主管部门的问题，和酒店无关，后来火车站广场上一位交通协管员叫我们坐1路公交车，3站路就到了，只要1元钱，很方便又便宜。房间很干净，还免费送水果，下次有机会还住这个酒店。
1,"这个酒店的地理位置不错,离火车站很近,出行特方便.周边环境也不错,有公安厅、省委、让人感觉很安全，酒店服务也很好，本人将项链放在电视机旁，走的时候忘记拿了，结帐时，服务员很温婉的提醒我，让我很感动，真是个不错的酒店，建议大家去长沙可以选择这个酒店试试。补充点评2008年7月2日：以前跟朋友入住酒店时,早餐是设在负一楼的,环境不好.这次有惊喜的发现,早餐已经搬到一楼咖啡厅了,感觉很好,总的来说,酒店真的很不错,下次来长沙,还选择住这个酒店."
1,地段不是很理想，虽然距火车站不远，但走路还有一段距离，打车又不容易打到，许多出租都不愿去车站。另外由于大堂餐厅承包给了个人，所以自助早餐只能在大堂咖啡厅内，设施不完善，品种也少。
1,"阳光酒店比我想象中要好的多,特别是它的泳池的位置,真有点和周围岛湖自成一景的感觉,人在其中,举目远眺,人和自然景色的融合的恰如其分.酒店的早餐也很丰盛,前台很忙,但还是有问必答.和朋友入住的是行政单间,室内的装饰略显陈旧,客房服务也有点不足,免费的水果送来时正值客人午睡之时,应该是客人一进门送比较及时.这点还需要改进.总的来说,如果能入住到大湖景房的话,个人感觉性价比还是蛮高的.有机会还是会入住的."
1,地理位置很好，风景美丽，环境宁静。硬件比一般的三星级好。
